NUMBER,NAME,RATING,STARTER
11-MA-001,TRAMP METAL MAGNET,18.5,DOL
11-FE-002,GRIZZLEY FEEDER,15,VSD
11-CV-001,CV-001 CONVEYOR,75,DOL
11-FE-003,AUTOMATIC LUBE OD MOTOR,0.27,DOL
11-CR-001,JAW CRUSHER,160,VSD
11-PP-513,STOCKPILE DUST SUPPRESSION BOOSTER,7.5,DOL
23-PP-028,SUMP PUMP,15,DOL
23-TH-005,CCD5 THICKNER,7.5,DOL
23-PP-215,COOLING WATER SUPPLY PUMP,45,DOL
23-PP-216,COOLING WATER SUPPLY PUMP,45,DOL
16-PP-278,RENGENTS,15,DOL
16-PP-279,RENGENTS,15,DOL
26-AG-015,REACTOR TANK 15 AGITATOR,132,DOL
16-AG-133,RENGENTS,15,DOL
23-PP-170,TRAIN 2 FEED PUMP,22,VSD
23-PP-247,SPILLAGE POND PUMP,5.5,DOL
23-AG-001,REACTOR TANK 11 AGITATOR,225,DOL
23-EQ-001,EQUIPPED SPARE,5.5,DOL
23-AG-023,REACTOR TANK 23 AGITATOR,225,DOL
23-AG-021,REACTOR TANK 21 AGITATOR,225,DOL
23-PP-041,COOLING WATER SUPPLY PUMP,315,DOL
23-AG-022,REACTOR TANK 22 AGITATOR,225,DOL
23-TH-044,CCD4 THICKNER,7.5,DOL
23-C2-002A,BLOWERS COOLING TOWER,22,DOL
23-C2-002B,BLOWERS COOLING TOWER (2CO),22,DOL
23-AG-025,REACTOR TANK 25 AGITATOR,132,DOL
23-AG-010,SURGE TANK 10 AGITATOR,45,DOL
23-AG-026,REACTOR TANK26 AGITATOR,132,DOL
23-EQ-012,EQUIPPED SPARE,45,DOL
23-AG-024,REACTOR TANK 22 AGITATOT,225,DOL
23-PP-285,EQUIPPED SPARE,22,DOL
23-PP-228,TRASH 2 NUTRIENT DOZING PUMP,1.5,VSD 
23-PP-227,TRASH 2 NUTRIENT DOZING PUMP,1.5,VSD 
23-PP-190,FLOCULANT TRANSFER PUMP,1.5,VSD
23-PP-151,FLOCULANT TRANSFER PUMP,1.5,VSD 
23-PP-147,FLOCULANT TRANSFER PUMP,1.5,VSD
23-PP-191,FLOCULANT TRANSFER PUMP,1.5,VSD
23-PP-122,FLOCULANT AREA SUMP PUMP,2.2,DOL
