,NUMBER,NAME,RATING,STARTER,FUNCTION,AREA
0,11-MA-001,TRAMP METAL MAGNET,18.5,DOL,OTHER,CRUSHER/MILLING
1,11-FE-002,GRIZZLEY FEEDER,15.0,VSD,FEEDER,CRUSHER/MILLING
2,11-CV-001,CV-001 CONVEYOR,75.0,DOL,OTHER,CRUSHER/MILLING
3,11-FE-003,AUTOMATIC LUBE OD MOTOR,0.27,DOL,FEEDER,CRUSHER/MILLING
4,11-CR-001,JAW CRUSHER,160.0,VSD,OTHER,CRUSHER/MILLING
5,11-PP-513,STOCKPILE DUST SUPPRESSION BOOSTER,7.5,DOL,PUMP,CRUSHER/MILLING
6,23-PP-028,SUMP PUMP,15.0,DOL,PUMP,BIOX
7,23-TH-005,CCD5 THICKNER,7.5,DOL,THICKENER,BIOX
8,23-PP-215,COOLING WATER SUPPLY PUMP,45.0,DOL,PUMP,BIOX
9,23-PP-216,COOLING WATER SUPPLY PUMP,45.0,DOL,PUMP,BIOX
10,16-PP-278,RENGENTS,15.0,DOL,PUMP,REAGENTS
11,16-PP-279,RENGENTS,15.0,DOL,PUMP,REAGENTS
12,26-AG-015,REACTOR TANK 15 AGITATOR,132.0,DOL,AGITATOR,BACKFILL
13,16-AG-133,RENGENTS,15.0,DOL,AGITATOR,REAGENTS
14,23-PP-170,TRAIN 2 FEED PUMP,22.0,VSD,PUMP,BIOX
15,23-PP-247,SPILLAGE POND PUMP,5.5,DOL,PUMP,BIOX
16,23-AG-001,REACTOR TANK 11 AGITATOR,225.0,DOL,AGITATOR,BIOX
17,23-EQ-001,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,BIOX
18,23-AG-023,REACTOR TANK 23 AGITATOR,225.0,DOL,AGITATOR,BIOX
19,23-AG-021,REACTOR TANK 21 AGITATOR,225.0,DOL,AGITATOR,BIOX
20,23-PP-041,COOLING WATER SUPPLY PUMP,315.0,DOL,PUMP,BIOX
21,23-AG-022,REACTOR TANK 22 AGITATOR,225.0,DOL,AGITATOR,BIOX
22,23-TH-044,CCD4 THICKNER,7.5,DOL,THICKENER,BIOX
23,23-C2-002A,BLOWERS COOLING TOWER,22.0,DOL,COOLING TOWER,BIOX
24,23-C2-002B,BLOWERS COOLING TOWER (2CO),22.0,DOL,COOLING TOWER,BIOX
25,23-AG-025,REACTOR TANK 25 AGITATOR,132.0,DOL,AGITATOR,BIOX
